Doc,Nombre,Apellido,Cargo,Profesion,Nivel,Salario,Ciudad,País,Telefono
1344702176,Dwayne,Chapman,Analista,Ingeniero,Semi-Senior,37454,East Sandratown,Iceland,071-524-3083
4799197514,Madison,Merritt,Recursos Humanos,Ingeniero,Senior,71516,New Bruce,Venezuela,+1-511-535-4543x1825
8113304588,Derek,Mccoy,Soporte Técnico,Abogado,Senior,54075,Thomasport,Tokelau,709-586-4973x4021
5135410735,Jennifer,Miller,Soporte Técnico,Contador,Senior,62291,South Lauramouth,Colombia,(888)150-7713x78702
3322201316,James,Coleman,Contador,Administrador,Semi-Senior,36836,East Philipton,Vietnam,+1-187-622-6489x646
3523671722,Jeanne,Levine,Gerente,Abogado,Junior,58774,Michaelside,Iran,160-104-1932
8864325355,Jill,Bailey,Desarrollador,Psicólogo,Junior,43273,Choibury,Honduras,+1-667-982-6349
7021648909,Jamie,Walker,Desarrollador,Técnico,Senior,96590,Nancyborough,Namibia,051.733.3603x9271
5504005023,Sarah,Stevens,Desarrollador,Administrador,Junior,73930,Gabriellaberg,Switzerland,+1-373-272-2307x23483
1626997475,Joshua,James,Gerente,Abogado,Senior,102194,Laurahaven,Guadeloupe,+1-628-152-9787x2862
4893785837,Jeffrey,Snyder,Soporte Técnico,Ingeniero,Junior,110251,East Patrick,Norfolk Island,251.807.3927
7330418880,Randall,Baxter,Desarrollador,Técnico,Senior,29318,Brianshire,Tajikistan,001-530-984-2801
1465562584,Brittany,Thomas,Analista,Técnico,Senior,110962,North Stevenchester,Taiwan,746.380.8684
8325327551,Thomas,Mccullough,Desarrollador,Técnico,Junior,36542,South Danielborough,Tonga,+1-190-111-2638x2813
9118433129,Alan,Schmidt,Recursos Humanos,Administrador,Semi-Senior,84500,Lake Anthony,Philippines,(003)456-9291
4914112753,Robin,Smith,Recursos Humanos,Técnico,Semi-Senior,118870,West Sarah,Poland,+1-045-938-0143x26182
4206930992,Ashley,Browning,Gerente,Psicólogo,Junior,71420,Homouth,Slovenia,+1-380-785-4787x8731
7151030384,Julie,Jordan,Recursos Humanos,Técnico,Senior,78970,Swansonfurt,Turkey,4557028353
9263228010,Daniel,Gonzalez,Contador,Administrador,Semi-Senior,56327,New Derrickmouth,Cote d'Ivoire,(740)914-8898
